NPA,employment_2023,grad_2023,home_price_2023,home_price_2021,job_density_2022,homicide_count
193,93.7,94.1,667910.0,749973.0,5,0.0
195,99.3,83.1,387026.0,264301.0,0,5.0
196,94.5,90.3,301635.0,189441.0,0,0.0
197,97.9,95.5,437083.0,141926.0,0,1.0
198,99.0,81.3,814429.0,476096.0,1,1.0
199,95.6,77.1,312553.0,138333.0,4,11.0
200,95.7,87.5,458091.0,452538.0,4,3.0
201,96.2,100.0,526580.0,752496.0,0,2.0
202,94.3,68.4,897500.0,184926.0,1,4.0
203,91.6,87.5,433565.0,311785.0,0,0.0
204,95.9,95.8,236500.0,338931.0,7,1.0
205,100.0,100.0,336500.0,832841.0,1,0.0
206,95.5,100.0,354773.0,442667.0,1,0.0
207,98.5,88.9,346495.0,310146.0,10,1.0
208,98.7,100.0,1163259.0,1323214.0,0,0.0
209,96.1,94.6,983262.0,226169.0,0,1.0
210,98.1,92.9,393690.0,455799.0,9,0.0
211,93.3,87.9,433932.0,222219.0,0,2.0
212,100.0,77.8,544283.0,202337.0,12,3.0
213,96.6,100.0,305500.0,628470.0,24,0.0
215,100.0,100.0,281230.0,1043733.0,0,0.0
216,89.3,100.0,764293.0,1077111.0,1,0.0
217,100.0,93.8,279676.0,888324.0,0,0.0
218,96.9,90.0,1178573.0,254438.0,1,1.0
219,94.7,64.3,317204.0,179206.0,4,12.0
220,89.2,85.7,553725.0,190803.0,0,1.0
221,97.2,77.3,247167.0,237008.0,1,4.0
222,98.8,100.0,421521.0,444522.0,0,1.0
223,88.9,90.9,444477.0,214951.0,0,11.0
224,90.3,94.1,1045038.0,350849.0,1,2.0
225,93.7,92.3,324466.0,239083.0,0,0.0
227,99.9,100.0,1801065.0,239871.0,0,1.0
228,100.0,85.7,286194.0,367128.0,1,0.0
229,89.1,78.8,343732.0,253942.0,1,6.0
230,95.7,76.9,323804.0,101660.0,0,0.0
231,100.0,86.1,300375.0,287809.0,1,0.0
232,98.6,92.9,654208.0,234682.0,1,1.0
233,95.7,94.1,1314130.0,405258.0,5,1.0
234,94.1,85.7,1205319.0,221447.0,1,5.0
